Age,Gender,Race,Education,WorkClass,Occupation,MaritalStatus,HoursPerWeek,CapitalGain,CapitalLoss,NativeCountry,IncomeClass
54,Female,Asian,Associate,Private,Clerical,Single,37,4267,0,USA,1
44,Other,White,Bachelor's,Government,Blue Collar,Single,28,0,0,Mexico,0
32,Female,White,Bachelor's,Private,Healthcare,Married,33,176,0,Mexico,1
51,Female,Black,Some College,Private,Clerical,Single,49,0,1523,USA,1
40,Male,Black,Some College,Private,Sales,Single,32,0,0,USA,1
48,Female,Black,Some College,Private,Healthcare,Married,42,0,0,Mexico,1
18,Male,Asian,HS Grad,Private,Tech,Married,52,0,0,USA,1
45,Female,Asian,HS Grad,Private,Healthcare,Married,30,0,0,USA,1
32,Male,Hispanic,HS Grad,Private,Management,Divorced,42,0,0,China,0
59,Female,White,Some College,Private,Sales,Single,53,0,0,USA,1
47,Male,Asian,HS Grad,Government,Management,Married,24,0,0,USA,1
42,Female,White,Some College,Private,Tech,Single,32,0,0,USA,0
45,Male,White,Bachelor's,Self-Employed,Tech,Married,45,0,0,USA,1
28,Male,White,Associate,Private,Education,Single,48,0,0,USA,1
59,Female,White,Associate,Self-Employed,Management,Single,49,276,0,USA,0
63,Male,Other,Bachelor's,Private,Blue Collar,Single,30,0,837,Canada,1
44,Female,Other,No HS,Private,Sales,Single,39,0,0,India,0
59,Male,White,Bachelor's,Government,Healthcare,Single,24,0,326,USA,1
33,Female,White,HS Grad,Private,Education,Divorced,60,1255,0,Canada,1
30,Male,Black,Some College,Government,Tech,Married,59,0,0,USA,1
40,Male,White,Some College,Private,Sales,Divorced,56,0,0,USA,1
45,Other,White,HS Grad,Private,Sales,Married,38,0,0,USA,0
35,Male,White,HS Grad,Private,Management,Single,35,0,0,USA,1
46,Female,White,Master's,Private,Healthcare,Single,28,0,0,USA,1
43,Male,White,Associate,Government,Sales,Single,30,2382,1308,USA,0
28,Female,Asian,Some College,Private,Clerical,Single,43,1392,1807,India,1
46,Female,White,Bachelor's,Government,Education,Single,42,860,0,India,0
50,Male,Black,Bachelor's,Private,Clerical,Married,34,0,0,Canada,1
42,Female,Hispanic,HS Grad,Private,Tech,Married,39,0,0,USA,1
53,Male,Black,Associate,Government,Blue Collar,Married,34,0,1222,USA,1
25,Male,White,Master's,Private,Education,Married,41,0,0,USA,1
45,Male,White,Some College,Government,Education,Married,19,0,2338,USA,1
25,Male,Hispanic,Associate,Private,Management,Married,34,0,0,USA,0
26,Other,Black,Bachelor's,Self-Employed,Healthcare,Single,42,0,0,USA,1
32,Male,White,Associate,Self-Employed,Healthcare,Single,35,0,0,USA,0
28,Female,White,PhD,Private,Tech,Single,37,3576,0,USA,1
33,Male,White,HS Grad,Government,Education,Widowed,23,0,0,USA,1
37,Male,Asian,Bachelor's,Private,Healthcare,Married,24,0,0,USA,1
50,Female,White,Associate,Government,Sales,Single,42,7372,0,Mexico,0
36,Male,Asian,Some College,Private,Healthcare,Widowed,49,0,0,USA,0
20,Female,White,Bachelor's,Private,Education,Single,30,12245,0,USA,1
53,Male,White,PhD,Private,Clerical,Widowed,35,0,0,USA,1
29,Female,Hispanic,No HS,Government,Tech,Single,36,0,0,USA,0
39,Male,Asian,Master's,Private,Sales,Single,50,0,0,USA,1
45,Male,White,HS Grad,Self-Employed,Management,Widowed,25,0,0,USA,0
42,Male,White,HS Grad,Private,Management,Married,30,0,0,USA,0
53,Male,Black,No HS,Private,Tech,Single,40,0,0,USA,1
45,Male,White,Master's,Government,Tech,Divorced,50,15926,0,USA,1
29,Male,Hispanic,Bachelor's,Private,Management,Divorced,43,0,0,USA,1
66,Male,White,No HS,Self-Employed,Clerical,Divorced,43,0,645,USA,0
42,Female,White,Associate,Private,Healthcare,Single,37,0,173,USA,0
38,Female,Hispanic,HS Grad,Private,Clerical,Married,26,0,0,Other,1
51,Male,White,Bachelor's,Government,Healthcare,Married,42,0,0,Mexico,1
42,Female,Hispanic,Some College,Private,Tech,Single,47,0,244,USA,1
44,Female,Hispanic,No HS,Private,Sales,Married,39,6706,0,USA,1
69,Female,White,Bachelor's,Private,Blue Collar,Single,32,0,0,USA,1
36,Other,White,Some College,Private,Education,Single,26,0,476,USA,1
36,Female,Asian,Bachelor's,Private,Education,Married,54,0,0,Canada,1
41,Male,White,Associate,Self-Employed,Management,Divorced,49,0,0,Other,0
52,Female,White,Some College,Private,Clerical,Single,35,0,0,USA,1
21,Female,Black,Associate,Private,Blue Collar,Married,49,0,0,USA,0
18,Male,White,No HS,Private,Sales,Single,35,0,7504,USA,0
32,Female,White,Some College,Government,Healthcare,Married,47,0,1188,USA,1
20,Male,Other,Bachelor's,Self-Employed,Healthcare,Married,48,6962,0,USA,1
34,Male,White,Bachelor's,Private,Clerical,Married,46,0,0,USA,1
46,Female,White,Bachelor's,Government,Education,Married,32,0,0,Germany,1
29,Male,White,Associate,Private,Tech,Single,27,0,42,USA,1
22,Female,Other,Master's,Government,Education,Married,30,0,0,USA,1
40,Female,Asian,Some College,Government,Clerical,Married,60,11219,0,USA,1
50,Female,Asian,Some College,Government,Tech,Married,23,0,0,USA,1
19,Female,Hispanic,HS Grad,Private,Tech,Single,27,63,0,USA,0
49,Male,White,Bachelor's,Government,Healthcare,Married,43,0,0,UK,1
49,Other,White,Associate,Private,Management,Single,36,0,0,USA,1
51,Male,Asian,Some College,Private,Sales,Married,46,0,0,USA,0
54,Female,White,No HS,Private,Healthcare,Single,42,23747,0,Canada,1
66,Female,Asian,HS Grad,Private,Tech,Single,40,0,0,USA,0
35,Female,White,HS Grad,Private,Clerical,Divorced,53,1965,0,USA,0
41,Female,White,Some College,Private,Tech,Single,44,0,0,USA,1
35,Female,Black,HS Grad,Private,Clerical,Married,36,0,0,USA,0
40,Male,Black,Bachelor's,Private,Management,Married,53,0,0,USA,1
58,Male,White,Bachelor's,Private,Sales,Married,39,0,245,USA,1
23,Female,Black,Bachelor's,Self-Employed,Blue Collar,Married,32,4514,0,USA,0
29,Male,Black,Associate,Private,Healthcare,Widowed,40,0,0,USA,1
56,Other,Black,Some College,Government,Clerical,Single,44,0,0,USA,1
52,Male,White,Bachelor's,Self-Employed,Healthcare,Married,37,0,0,USA,1
35,Male,White,Some College,Private,Blue Collar,Single,46,0,0,Other,0
50,Male,White,No HS,Private,Clerical,Single,53,0,1234,USA,1
44,Female,Hispanic,Some College,Private,Tech,Single,33,0,294,USA,1
58,Female,Hispanic,Some College,Private,Blue Collar,Married,41,0,0,USA,0
40,Male,Black,Some College,Unemployed,Education,Married,0,0,0,India,0
52,Male,White,HS Grad,Private,Management,Married,37,2601,0,USA,0
70,Male,Other,Bachelor's,Private,Healthcare,Single,33,0,0,USA,1
47,Male,White,Associate,Private,Sales,Single,32,2176,0,USA,1
40,Male,White,HS Grad,Government,Blue Collar,Single,36,7714,259,Mexico,1
48,Male,White,Some College,Government,Tech,Married,42,0,0,Canada,1
35,Female,White,Bachelor's,Government,Clerical,Married,21,0,2017,USA,1
68,Male,White,No HS,Unemployed,Management,Married,0,0,0,Germany,0
42,Female,Hispanic,HS Grad,Private,Tech,Married,60,0,0,USA,1
36,Male,White,Some College,Private,Tech,Divorced,60,684,0,USA,1
29,Male,White,Bachelor's,Private,Management,Single,56,3912,0,USA,1
53,Female,White,Bachelor's,Government,Education,Divorced,27,0,56,USA,0
50,Female,Other,HS Grad,Private,Tech,Married,31,0,58,USA,0
34,Female,White,Some College,Private,Tech,Married,39,0,0,USA,1
46,Male,White,Some College,Private,Clerical,Married,42,0,0,Canada,1
21,Female,Asian,Some College,Private,Blue Collar,Married,34,0,2076,UK,0
42,Male,Black,Some College,Private,Tech,Married,32,0,582,USA,1
45,Female,White,Some College,Self-Employed,Clerical,Married,44,0,0,USA,1
60,Male,White,HS Grad,Private,Education,Single,60,0,0,USA,0
30,Male,White,HS Grad,Self-Employed,Healthcare,Single,30,0,0,USA,0
24,Female,Asian,HS Grad,Private,Sales,Single,44,10915,0,USA,0
29,Male,White,Bachelor's,Private,Blue Collar,Single,29,0,173,USA,0
23,Female,Black,No HS,Private,Healthcare,Single,24,0,0,Germany,0
56,Female,Hispanic,HS Grad,Government,Education,Single,34,0,0,USA,0
58,Female,Other,Master's,Private,Blue Collar,Married,51,1694,0,USA,1
43,Male,Hispanic,No HS,Private,Tech,Married,21,2576,109,Canada,0
54,Male,White,No HS,Private,Education,Married,44,0,0,USA,0
41,Male,White,Some College,Private,Clerical,Single,42,0,0,India,1
38,Female,Asian,HS Grad,Private,Clerical,Married,48,0,0,India,0
36,Female,White,Some College,Government,Healthcare,Divorced,42,0,0,Germany,1
36,Female,White,Some College,Government,Sales,Single,27,0,0,USA,1
21,Female,White,HS Grad,Private,Blue Collar,Married,48,0,0,USA,0
43,Female,White,PhD,Private,Management,Widowed,53,0,0,USA,1
39,Male,Asian,Some College,Private,Healthcare,Married,55,0,128,USA,0
48,Male,Asian,Associate,Private,Sales,Single,18,0,0,USA,1
41,Female,White,Bachelor's,Self-Employed,Healthcare,Married,49,0,0,USA,1
38,Male,White,Master's,Private,Tech,Single,38,14872,0,Canada,1
29,Female,Other,Some College,Unemployed,Management,Married,0,0,0,USA,0
40,Female,White,Master's,Private,Tech,Divorced,52,0,0,USA,0
48,Female,White,Associate,Private,Tech,Married,55,0,0,USA,1
26,Female,White,Some College,Unemployed,Clerical,Married,0,84,0,USA,0
41,Male,White,Associate,Private,Healthcare,Single,47,11281,0,India,1
42,Male,White,Some College,Private,Tech,Single,28,0,0,USA,0
31,Female,White,Some College,Private,Education,Single,39,0,0,Canada,0
32,Male,Other,Some College,Private,Education,Married,36,5101,0,USA,1
42,Male,White,Some College,Government,Healthcare,Single,36,0,0,China,1
26,Female,White,Bachelor's,Private,Blue Collar,Married,19,0,0,USA,1
44,Female,White,HS Grad,Government,Education,Married,43,1064,0,USA,0
29,Male,Hispanic,Bachelor's,Private,Education,Single,40,0,0,USA,1
52,Male,White,HS Grad,Government,Blue Collar,Married,48,0,0,USA,1
68,Female,White,HS Grad,Government,Clerical,Married,39,0,0,USA,1
29,Female,Hispanic,Bachelor's,Private,Tech,Married,45,0,0,USA,1
46,Male,Asian,HS Grad,Private,Education,Single,29,0,0,Canada,1
31,Male,White,Bachelor's,Government,Clerical,Married,57,982,0,USA,1
52,Female,White,Bachelor's,Self-Employed,Clerical,Married,47,3675,0,Canada,0
24,Female,White,HS Grad,Government,Tech,Married,52,0,616,USA,1
45,Male,White,No HS,Private,Sales,Single,42,0,0,USA,0
29,Female,White,HS Grad,Private,Blue Collar,Married,39,0,0,India,1
37,Male,Asian,Bachelor's,Government,Management,Single,34,0,0,USA,1
27,Female,White,Bachelor's,Self-Employed,Management,Married,45,0,0,USA,0
49,Female,White,Some College,Private,Clerical,Married,38,0,0,USA,1
29,Male,White,HS Grad,Private,Sales,Divorced,50,0,0,USA,0
46,Female,White,No HS,Private,Education,Married,45,0,0,USA,0
35,Female,White,HS Grad,Government,Healthcare,Single,47,0,0,USA,1
38,Male,White,Master's,Private,Healthcare,Married,39,16636,0,USA,1
41,Male,White,HS Grad,Private,Healthcare,Widowed,50,5861,0,USA,0
30,Female,Hispanic,No HS,Private,Tech,Single,55,2788,0,USA,1
42,Male,White,Bachelor's,Private,Clerical,Single,53,0,0,USA,0
58,Male,White,Associate,Private,Tech,Single,45,0,0,USA,0
30,Male,White,Some College,Private,Education,Divorced,39,0,0,USA,0
54,Female,White,Some College,Private,Blue Collar,Single,47,0,0,Canada,1
57,Male,White,Associate,Private,Clerical,Married,42,106,2125,USA,1
30,Male,White,Associate,Private,Education,Married,50,10191,0,Germany,0
22,Male,Other,Some College,Private,Education,Married,40,0,0,Other,1
43,Female,White,HS Grad,Private,Education,Single,46,0,0,China,0
33,Male,Black,Bachelor's,Private,Blue Collar,Married,28,273,0,USA,1
62,Male,Hispanic,HS Grad,Private,Management,Single,44,0,456,India,1
40,Male,White,Some College,Government,Healthcare,Married,43,0,0,Germany,1
30,Male,Hispanic,Associate,Private,Clerical,Married,60,1231,0,India,1
26,Female,White,Associate,Private,Sales,Single,43,0,0,USA,0
53,Female,White,Associate,Private,Sales,Married,35,0,0,USA,1
33,Female,Other,Associate,Private,Clerical,Single,34,0,51,USA,1
40,Male,Black,Bachelor's,Government,Education,Single,32,2474,0,Canada,1
51,Female,Asian,Some College,Private,Clerical,Single,38,0,0,USA,0
34,Other,White,Associate,Private,Healthcare,Married,54,7612,0,USA,1
39,Female,White,Associate,Private,Clerical,Divorced,39,342,0,China,1
39,Male,White,Some College,Private,Education,Married,46,0,0,USA,1
48,Male,White,Master's,Private,Education,Married,57,0,0,USA,1
47,Male,White,Associate,Self-Employed,Sales,Single,32,0,0,USA,0
37,Female,White,Some College,Private,Tech,Divorced,41,0,0,USA,1
40,Female,White,Bachelor's,Private,Education,Divorced,28,0,0,UK,1
35,Male,White,Some College,Unemployed,Healthcare,Married,0,0,0,Canada,0
22,Female,White,Some College,Private,Healthcare,Single,26,0,0,India,1
43,Male,Black,Some College,Private,Education,Married,57,0,0,China,1
62,Female,White,Some College,Private,Blue Collar,Married,27,3058,0,USA,1
29,Male,Asian,Associate,Private,Education,Single,32,0,1567,USA,1
30,Male,White,No HS,Private,Education,Single,36,0,782,USA,1
29,Female,White,Bachelor's,Private,Management,Single,43,0,0,USA,0
48,Female,Black,Bachelor's,Government,Sales,Married,34,0,0,Mexico,1
45,Female,White,Some College,Government,Sales,Married,55,416,0,Canada,1
38,Female,Asian,HS Grad,Private,Healthcare,Single,49,0,0,USA,1
28,Male,Asian,Some College,Private,Tech,Married,28,16944,0,USA,1
41,Female,White,Bachelor's,Private,Clerical,Widowed,36,0,0,USA,1
21,Other,Hispanic,No HS,Government,Management,Single,24,0,0,USA,0
41,Female,White,Some College,Private,Blue Collar,Single,56,0,0,USA,0
50,Female,White,HS Grad,Private,Sales,Married,52,0,0,Other,1
24,Male,White,Bachelor's,Self-Employed,Management,Married,60,0,0,USA,1
21,Female,Hispanic,Some College,Government,Management,Single,26,0,329,USA,1
58,Male,Asian,Associate,Private,Clerical,Married,47,803,236,USA,0
32,Male,White,Some College,Private,Clerical,Single,40,0,263,China,1
53,Male,Asian,Some College,Government,Tech,Married,47,0,0,UK,1
38,Female,Black,Some College,Private,Blue Collar,Married,38,0,0,USA,0
38,Male,White,Associate,Private,Blue Collar,Married,39,0,0,Mexico,1
45,Female,White,Master's,Private,Tech,Divorced,35,0,0,USA,0
29,Female,Hispanic,HS Grad,Private,Management,Divorced,42,0,0,Other,0
41,Male,Other,Associate,Private,Healthcare,Married,48,0,0,USA,1
35,Male,Hispanic,HS Grad,Private,Tech,Divorced,43,1786,183,USA,1
24,Female,Hispanic,Some College,Self-Employed,Blue Collar,Married,50,0,960,USA,0
44,Female,Black,Some College,Government,Education,Divorced,45,0,2101,USA,1
36,Male,Other,Some College,Government,Sales,Single,37,0,1037,USA,1
38,Female,Black,Some College,Private,Tech,Single,60,759,0,USA,1
25,Female,Hispanic,Bachelor's,Government,Education,Married,48,4894,0,USA,1
59,Female,White,No HS,Private,Healthcare,Married,45,0,0,USA,1
50,Male,Black,Bachelor's,Private,Healthcare,Married,43,0,0,Canada,1
51,Male,White,Some College,Self-Employed,Clerical,Married,38,0,0,USA,0
36,Male,White,Some College,Private,Tech,Widowed,27,0,0,USA,1
19,Male,Other,HS Grad,Private,Management,Single,41,0,0,USA,0
63,Female,Other,Bachelor's,Self-Employed,Tech,Married,25,1575,0,USA,1
39,Male,White,Some College,Private,Education,Married,39,547,0,China,1
31,Female,Asian,Associate,Private,Education,Single,35,0,0,USA,1
45,Female,Other,Some College,Unemployed,Blue Collar,Married,0,0,0,USA,0
54,Female,White,Some College,Private,Healthcare,Married,59,0,0,USA,1
39,Male,White,Master's,Private,Management,Single,21,13831,0,USA,1
55,Female,White,Master's,Government,Healthcare,Single,40,248,0,USA,1
52,Male,White,Associate,Government,Clerical,Married,32,0,0,Canada,1
27,Female,White,Associate,Private,Education,Single,41,0,0,USA,1
31,Female,White,Associate,Private,Sales,Single,48,0,1506,USA,1
51,Male,White,Some College,Government,Blue Collar,Single,37,0,0,Mexico,1
18,Male,White,Some College,Self-Employed,Sales,Single,36,0,0,USA,1
38,Female,Asian,Master's,Unemployed,Education,Married,0,631,0,USA,1
22,Female,Hispanic,Bachelor's,Private,Education,Single,37,0,0,Germany,0
34,Female,White,Associate,Private,Tech,Single,47,0,263,USA,1
36,Female,White,HS Grad,Private,Blue Collar,Single,15,0,0,USA,0
35,Male,White,Master's,Private,Sales,Widowed,39,26641,0,USA,1
33,Male,White,Some College,Government,Healthcare,Single,38,0,0,USA,0
26,Female,White,Master's,Private,Sales,Married,40,0,0,USA,1
67,Female,Other,Associate,Private,Healthcare,Single,37,0,0,USA,1
62,Female,White,No HS,Private,Blue Collar,Married,37,0,0,Mexico,0
26,Male,Other,Some College,Private,Management,Married,47,0,2251,USA,1
58,Other,White,Bachelor's,Private,Management,Married,36,0,212,USA,1
35,Female,Hispanic,No HS,Government,Blue Collar,Married,33,0,0,Other,0
41,Female,White,Bachelor's,Private,Management,Married,44,0,381,USA,1
39,Female,Black,Associate,Private,Blue Collar,Divorced,41,0,0,USA,1
32,Female,White,No HS,Private,Education,Single,42,199,1072,USA,0
51,Male,White,Some College,Private,Healthcare,Divorced,20,0,0,Mexico,1
41,Male,Hispanic,No HS,Private,Blue Collar,Divorced,41,0,0,USA,0
34,Female,Hispanic,No HS,Private,Management,Married,38,0,0,China,0
24,Female,White,Bachelor's,Private,Sales,Married,23,8726,0,USA,1
29,Male,White,Associate,Private,Education,Divorced,42,0,0,USA,1
20,Female,White,HS Grad,Private,Clerical,Divorced,25,18302,134,USA,1
40,Male,White,HS Grad,Private,Blue Collar,Single,47,0,0,USA,1
25,Male,White,No HS,Private,Healthcare,Married,51,0,505,USA,0
36,Female,White,Master's,Private,Clerical,Divorced,52,0,0,USA,1
56,Male,Asian,Associate,Private,Sales,Single,37,0,0,USA,0
54,Female,Asian,HS Grad,Private,Sales,Married,35,0,0,USA,1
39,Male,White,Associate,Self-Employed,Clerical,Single,42,949,0,USA,1
38,Male,White,PhD,Private,Education,Single,41,9364,0,Mexico,1
62,Female,White,Bachelor's,Private,Blue Collar,Single,51,8530,786,USA,1
46,Female,Hispanic,Some College,Private,Tech,Single,60,0,0,Other,1
36,Male,White,Bachelor's,Self-Employed,Sales,Single,22,0,0,USA,1
22,Male,White,Associate,Private,Blue Collar,Married,41,0,0,USA,1
44,Male,White,No HS,Private,Tech,Married,33,0,0,USA,1
49,Female,Hispanic,Master's,Unemployed,Tech,Married,0,0,596,Germany,0
32,Female,Asian,Bachelor's,Private,Sales,Single,28,0,0,USA,0
43,Female,Asian,Some College,Private,Management,Single,60,0,0,USA,0
35,Male,White,Some College,Government,Sales,Widowed,34,0,0,Other,1
37,Other,White,HS Grad,Private,Clerical,Widowed,31,0,0,USA,1
18,Female,White,Bachelor's,Government,Healthcare,Married,33,0,0,China,1
37,Male,Black,Some College,Private,Sales,Single,32,0,0,USA,1
51,Female,Asian,Some College,Private,Clerical,Married,29,0,0,USA,0
32,Female,White,HS Grad,Private,Management,Single,39,0,357,USA,1
40,Female,Black,HS Grad,Private,Education,Married,44,0,0,USA,0
30,Female,Asian,PhD,Private,Education,Married,19,0,647,Germany,1
44,Male,White,Some College,Private,Sales,Married,47,0,0,USA,1
37,Female,White,Bachelor's,Government,Tech,Single,33,0,0,USA,1
28,Male,Asian,Bachelor's,Private,Sales,Married,60,0,0,USA,1
55,Female,Black,PhD,Private,Management,Divorced,43,0,569,USA,1
51,Female,Asian,PhD,Self-Employed,Management,Single,21,0,0,USA,1
32,Female,White,Some College,Private,Sales,Widowed,31,0,0,USA,0
45,Female,White,Master's,Unemployed,Clerical,Single,0,3573,0,Canada,0
46,Female,Asian,Some College,Private,Sales,Married,44,0,0,USA,0
47,Female,Hispanic,Associate,Private,Tech,Married,35,0,0,USA,1
19,Male,Hispanic,Bachelor's,Private,Tech,Single,32,0,0,USA,0
52,Female,White,Master's,Unemployed,Blue Collar,Married,0,0,101,USA,0
33,Male,Hispanic,Some College,Private,Management,Single,27,0,0,UK,0
35,Female,White,Some College,Government,Tech,Widowed,58,0,0,USA,1
70,Female,White,Associate,Private,Sales,Married,36,0,0,USA,0
43,Other,White,Some College,Private,Sales,Married,48,0,0,USA,1
35,Male,Other,Associate,Private,Clerical,Married,29,101,1297,USA,1
18,Male,White,Bachelor's,Private,Healthcare,Widowed,47,0,0,USA,1
56,Female,White,Bachelor's,Private,Tech,Married,22,7300,0,USA,0
23,Female,Black,HS Grad,Self-Employed,Sales,Single,38,0,0,USA,1
27,Male,White,Some College,Private,Clerical,Single,40,0,0,USA,0
36,Male,White,No HS,Government,Education,Divorced,35,0,0,India,0
56,Male,White,Bachelor's,Government,Sales,Single,49,0,0,USA,1
49,Male,White,HS Grad,Private,Tech,Widowed,57,0,0,USA,1
38,Female,Hispanic,Bachelor's,Self-Employed,Sales,Married,29,0,0,Other,0
43,Female,White,Some College,Private,Blue Collar,Single,43,3991,0,USA,1
32,Other,Other,HS Grad,Private,Management,Single,47,358,0,Other,0
41,Male,Hispanic,Bachelor's,Private,Blue Collar,Single,33,0,0,USA,1
40,Male,White,HS Grad,Private,Management,Married,43,2966,0,USA,1
51,Male,Asian,Some College,Private,Sales,Single,33,0,0,USA,0
51,Male,Black,Some College,Private,Sales,Married,35,0,0,Mexico,1
45,Female,Hispanic,Some College,Private,Management,Married,51,0,1859,USA,1
35,Male,White,HS Grad,Private,Healthcare,Single,53,0,0,USA,0
48,Male,White,Some College,Government,Education,Single,35,1691,1599,USA,1
38,Male,White,HS Grad,Private,Blue Collar,Married,15,0,0,USA,1
27,Male,Asian,Associate,Private,Tech,Married,55,0,0,USA,1
35,Male,White,HS Grad,Self-Employed,Management,Married,46,0,0,USA,0
41,Male,White,Some College,Private,Management,Single,42,0,0,Canada,1
50,Male,Asian,Some College,Private,Clerical,Married,31,0,0,Canada,0
37,Female,Black,Master's,Government,Sales,Single,39,0,0,USA,1
25,Female,White,No HS,Private,Sales,Single,44,0,0,USA,1
40,Female,Asian,Master's,Private,Management,Divorced,37,0,0,USA,1
41,Female,Asian,HS Grad,Private,Sales,Single,25,0,0,Other,0
42,Female,Asian,Bachelor's,Private,Management,Single,41,0,166,USA,1
51,Female,Other,No HS,Government,Healthcare,Single,36,0,0,USA,0
52,Male,White,PhD,Private,Clerical,Married,21,0,349,USA,1
32,Female,White,Bachelor's,Private,Education,Divorced,39,0,0,USA,1
32,Male,White,No HS,Private,Sales,Single,42,0,0,USA,0
27,Female,White,HS Grad,Government,Management,Single,45,0,273,USA,1
48,Male,Black,Some College,Private,Tech,Married,28,0,0,USA,1
57,Female,Black,Some College,Private,Education,Single,55,242,0,USA,1
36,Other,Asian,Associate,Private,Management,Single,38,0,0,USA,1
37,Male,Black,Some College,Private,Blue Collar,Married,46,0,0,USA,0
57,Male,White,Associate,Private,Education,Married,45,0,0,Mexico,1
46,Female,Asian,Some College,Private,Management,Married,38,3892,0,Canada,0
45,Male,White,HS Grad,Private,Education,Married,58,2131,0,USA,0
25,Female,White,No HS,Government,Blue Collar,Single,37,0,0,USA,1
48,Female,White,Some College,Private,Management,Single,41,0,0,Germany,0
28,Male,Hispanic,Some College,Government,Sales,Single,38,0,0,India,0
26,Female,White,Associate,Private,Blue Collar,Married,54,0,396,USA,1
35,Male,Asian,Bachelor's,Self-Employed,Healthcare,Married,30,0,0,USA,1
32,Female,Black,HS Grad,Self-Employed,Sales,Divorced,42,0,0,UK,0
37,Female,White,Some College,Private,Education,Single,39,0,0,Canada,1
22,Female,Black,HS Grad,Self-Employed,Tech,Single,44,0,0,USA,1
51,Male,White,Master's,Private,Management,Single,43,0,0,Other,1
53,Female,White,Associate,Self-Employed,Blue Collar,Married,26,0,39,Mexico,1
18,Female,White,Associate,Private,Clerical,Married,36,0,0,USA,1
51,Female,White,Some College,Private,Sales,Married,32,0,0,USA,1
30,Female,White,HS Grad,Private,Sales,Married,48,0,0,USA,1
50,Female,Asian,HS Grad,Self-Employed,Clerical,Single,27,0,0,USA,0
39,Female,White,Associate,Private,Management,Widowed,43,0,0,China,1
40,Male,Hispanic,Master's,Private,Tech,Single,55,0,507,UK,1
37,Male,White,HS Grad,Private,Clerical,Single,33,0,0,USA,0
54,Female,Hispanic,Some College,Government,Sales,Single,26,0,0,USA,1
25,Male,Other,Some College,Private,Tech,Single,47,6240,0,USA,1
47,Female,Asian,Associate,Private,Healthcare,Single,24,0,0,USA,1
53,Female,Other,Some College,Private,Tech,Married,34,7979,0,USA,1
48,Female,White,HS Grad,Private,Tech,Married,29,3971,0,USA,1
67,Female,Asian,Associate,Self-Employed,Blue Collar,Single,44,4832,0,Other,0
33,Male,Black,HS Grad,Private,Education,Married,43,0,0,USA,0
51,Female,White,Associate,Private,Sales,Single,41,0,0,USA,1
38,Male,Other,HS Grad,Private,Sales,Divorced,37,7670,0,USA,0
54,Male,Black,No HS,Private,Tech,Married,37,0,0,USA,0
39,Male,White,HS Grad,Private,Education,Single,41,0,0,USA,0
35,Other,Black,Bachelor's,Private,Blue Collar,Married,37,0,0,USA,0
55,Male,Black,HS Grad,Government,Sales,Married,29,0,0,USA,0
34,Male,White,Some College,Private,Sales,Married,58,0,0,USA,1
23,Female,Black,HS Grad,Government,Sales,Single,23,0,0,USA,1
33,Female,White,No HS,Private,Healthcare,Single,41,0,0,China,0
47,Male,White,Some College,Private,Blue Collar,Single,41,0,903,USA,0
56,Female,White,Bachelor's,Private,Clerical,Married,50,0,0,UK,0
41,Female,White,PhD,Private,Sales,Married,42,0,0,USA,1
55,Female,Black,Master's,Private,Tech,Divorced,60,4295,0,USA,1
23,Female,White,No HS,Government,Tech,Married,39,0,0,China,0
34,Male,White,HS Grad,Self-Employed,Management,Single,45,0,1454,USA,1
36,Female,Black,Some College,Government,Clerical,Divorced,44,0,0,USA,0
38,Female,White,Bachelor's,Private,Sales,Single,37,0,221,USA,1
41,Female,Other,Some College,Private,Sales,Single,35,4230,0,Germany,1
48,Female,Hispanic,Some College,Private,Education,Single,33,0,0,India,1
34,Male,Hispanic,Associate,Private,Education,Widowed,44,0,0,USA,1
41,Female,Asian,HS Grad,Private,Clerical,Single,55,0,0,USA,1
39,Female,Other,Some College,Private,Healthcare,Single,45,0,8,USA,1
28,Male,White,No HS,Private,Tech,Single,36,0,0,USA,1
38,Female,White,Some College,Private,Healthcare,Single,48,0,0,India,1
38,Male,White,Some College,Private,Clerical,Married,30,0,0,USA,1
38,Female,Asian,Some College,Government,Healthcare,Single,51,0,0,China,1
40,Female,Asian,HS Grad,Self-Employed,Clerical,Single,34,0,0,India,0
40,Male,White,Bachelor's,Private,Healthcare,Married,25,0,0,USA,1
34,Male,Hispanic,Bachelor's,Private,Education,Single,38,0,0,USA,1
55,Male,White,Bachelor's,Private,Sales,Single,43,0,0,USA,1
25,Male,Black,Some College,Government,Clerical,Married,37,0,0,USA,0
31,Female,Asian,HS Grad,Private,Blue Collar,Married,50,0,307,Germany,1
70,Male,White,No HS,Private,Sales,Single,41,0,109,USA,0
27,Male,Asian,Associate,Government,Management,Single,37,1989,0,USA,1
23,Female,Other,Some College,Private,Healthcare,Single,34,0,0,USA,1
48,Male,Black,HS Grad,Self-Employed,Healthcare,Married,41,0,0,India,1
18,Female,White,Some College,Government,Sales,Single,47,3750,4188,USA,1
37,Male,Asian,Some College,Private,Management,Married,53,0,0,USA,1
65,Female,Hispanic,HS Grad,Private,Tech,Widowed,44,0,0,USA,1
21,Female,White,Master's,Government,Sales,Single,52,0,0,USA,1
18,Male,Black,Associate,Government,Clerical,Married,22,0,0,Other,1
22,Male,White,No HS,Private,Sales,Married,36,0,0,USA,1
